<s>	sil #1
</s>	sil #2
巴	CH_b CH_a #1
八	CH_b CH_a #2
芭	CH_b CH_a #3
疤	CH_b CH_a #4
吧	CH_b CH_a #5
拔	CH_b CH_a #6
把	CH_b CH_a #7
靶	CH_b CH_a #8
爸	CH_b CH_a #9
耙	CH_p CH_a #1
耙	CH_b CH_a #10
罷	CH_p CH_i #1
罷	CH_b CH_a #11
霸	CH_b CH_a #12
波	CH_b CH_u CH_o #1
玻	CH_b CH_u CH_o #2
剝	CH_b CH_u CH_o #3
缽	CH_b CH_u CH_o #4
撥	CH_b CH_u CH_o #5
伯	CH_b CH_u CH_o #6
伯	CH_b CH_a CH_i #1
伯	CH_b CH_a #13
帛	CH_b CH_u CH_o #7
泊	CH_b CH_u CH_o #8
泊	CH_p CH_u CH_o #1
勃	CH_b CH_u CH_o #9
柏	CH_b CH_u CH_o #10
柏	CH_b CH_a CH_i #2
脖	CH_b CH_u CH_o #11
博	CH_b CH_u CH_o #12
搏	CH_b CH_u CH_o #13
箔	CH_b CH_u CH_o #14
駁	CH_b CH_u CH_o #15
膊	CH_b CH_u CH_o #16
蔔	CH_b CH_u CH_o #17
薄	CH_b CH_u CH_o #18
播	CH_b CH_u CH_o #19
擘	CH_b CH_u CH_o #20
白	CH_b CH_u CH_o #21
襬	CH_b CH_a CH_i #3
百	CH_b CH_u CH_o #22
百	CH_b CH_a CH_i #4
佰	CH_b CH_u CH_o #23
佰	CH_b CH_a CH_i #5
佰	CH_m CH_u CH_o #1
擺	CH_b CH_a CH_i #6
拜	CH_b CH_a CH_i #7
敗	CH_b CH_a CH_i #8
卑	CH_b CH_e CH_i #1
杯	CH_b CH_e CH_i #2
盃	CH_b CH_e CH_i #3
悲	CH_b CH_e CH_i #4
碑	CH_b CH_e CH_i #5
北	CH_b CH_e CH_i #6
北	CH_b CH_u CH_o #24
貝	CH_b CH_e CH_i #7
倍	CH_b CH_e CH_i #8
背	CH_b CH_e CH_i #9
悖	CH_b CH_u CH_o #25
悖	CH_b CH_e CH_i #10
備	CH_b CH_e CH_i #11
被	CH_p CH_i #2
被	CH_b CH_e CH_i #12
蓓	CH_b CH_e CH_i #13
輩	CH_b CH_e CH_i #14
憊	CH_b CH_e CH_i #15
包	CH_b CH_a CH_u #1
胞	CH_b CH_a CH_u #2
苞	CH_b CH_a CH_u #3
褒	CH_b CH_a CH_u #4
雹	CH_b CH_u CH_o #26
保	CH_b CH_a CH_u #5
堡	CH_b CH_a CH_u #6
堡	CH_p CH_u #1
飽	CH_b CH_a CH_u #7
褓	CH_b CH_a CH_u #8
寶	CH_b CH_a CH_u #9
刨	CH_p CH_a CH_u #1
刨	CH_b CH_a CH_u #10
抱	CH_b CH_a CH_u #11
豹	CH_b CH_a CH_u #12
報	CH_b CH_a CH_u #13
暴	CH_b CH_a CH_u #14
鮑	CH_b CH_a CH_u #15
爆	CH_b CH_u CH_o #27
爆	CH_b CH_a CH_u #16
扳	CH_b CH_a CH_n# #1
般	CH_b CH_u CH_o #28
般	CH_p CH_a CH_n# #1
班	CH_b CH_a CH_n# #2
斑	CH_b CH_a CH_n# #3
搬	CH_b CH_a CH_n# #4
頒	CH_b CH_a CH_n# #5
版	CH_b CH_a CH_n# #6
板	CH_b CH_a CH_n# #7
舨	CH_b CH_a CH_n# #8
半	CH_b CH_a CH_n# #9
伴	CH_b CH_a CH_n# #10
扮	CH_b CH_a CH_n# #11
拌	CH_b CH_a CH_n# #12
辦	CH_b CH_a CH_n# #13
奔	CH_b CH_@ CH_n# #1
本	CH_b CH_@ CH_n# #2
苯	CH_b CH_@ CH_n# #3
笨	CH_b CH_@ CH_n# #4
